wavelength_nm,VIP_Cab_ugcm2,VIP_N_relativo,VIP_H2O_relativo,VIP_Efic_fotosin,VIP_Biomasa_rel,VIP_Estres_car
1327.39,0.9211408635119579,1.0241484449974043,0.9542042862995712,0.9841280350911824,0.6279544113713862,0.6097348043689216
1332.4,0.940898752084317,1.0421689279384407,0.9782772010670167,0.9654183375298868,0.5874622647055013,0.5960081356265707
1337.4,0.9590485865278832,1.0576678624271656,0.9874578499616532,0.9595802199905258,0.5355998269131501,0.5895855848391142
1342.41,0.9698103905978478,1.0662239810694247,0.9809969532869337,0.9500063766329209,0.4960815984495214,0.5845605565978257
1347.42,0.9682947817093367,1.0638869424661745,0.9522421211858578,0.9425940788958939,0.47288870833564495,0.5844324397081602
1352.43,0.9577224738233125,1.0518550691118957,0.9624206655464773,0.9902284886094189,0.43822692527856033,0.6253952928307047
1357.44,0.9793539719800903,1.0655128606492639,1.1804342785340198,1.0726812663016154,0.3689791194958815,0.7227138286755452
1362.44,0.0,0.0,0.0,0.0,0.0,0.0
1367.45,0.0,0.0,0.0,0.0,0.0,0.0
1372.46,0.0,0.0,0.0,0.0,0.0,0.0
1377.47,0.0,0.0,0.0,0.0,0.0,0.0
1382.47,0.0,0.0,0.0,0.0,0.0,0.0
1387.48,0.0,0.0,0.0,0.0,0.0,0.0
1392.49,0.0,0.0,0.0,0.0,0.0,0.0
1397.5,0.0,0.0,0.0,0.0,0.0,0.0
1402.5,0.0,0.0,0.0,0.0,0.0,0.0
1407.51,0.0,0.0,0.0,0.0,0.0,0.0
1412.52,0.7567419851726447,0.7478875355592773,1.6032374278523838,1.5723679304140876,1.2291039484262825,1.2217010456222945
1417.52,0.996355966354209,0.9848953418245524,1.3845815290979226,1.006076056849037,1.3506484670404115,1.071625597667041
1422.53,1.1026127134458,1.0538396673910204,1.2747953814952804,0.8690199524287651,1.3359558432195153,1.0254389292795347
1427.53,1.194018963666547,1.1212237244584848,1.2379377207904048,0.7115028617396183,1.3250050148287131,1.0191252197066882
1432.54,1.192302192707206,1.1125645132394912,1.2079951426864082,0.7494031773393025,1.3351041296025214,1.0511357019695946
1437.55,1.1923392725022908,1.1164713542012925,1.2351091419531772,0.7514450436650448,1.3018409907742499,1.0712655962537632
1442.55,1.2083616336030507,1.1248754414249256,1.2373457766813174,0.8656647170119346,1.3064868123926043,1.219892628362164
1447.56,1.2130885626566095,1.1307838302537536,1.206218867630082,0.8497452926834784,1.2682957648009192,1.2023427716792536
1452.56,1.2313428508822175,1.1522940102623673,1.242686908025333,0.8319019633434802,1.2489330136629169,1.1817475471869672
1457.57,1.224585600723877,1.146620853509016,1.2012381333537547,0.7975287619069036,1.2561637310516223,1.1414361236796473
1462.57,1.2207156510706403,1.148112600575435,1.1796392046320066,0.771112249432322,1.235989099873206,1.1226387989906086
1467.58,1.2151588083179872,1.1399635074646477,1.1993773271305268,0.8169521238669256,1.2482506010393215,1.1752306879295753
1472.58,1.2337460481807003,1.1679160853925996,1.2012177931375283,0.7549824097233839,1.182986127072586,1.1074205629140177
1477.59,1.227892527916936,1.1727874891534797,1.1444295189776528,0.7131213815006316,1.112766245229691,1.0649562604870972
1482.59,1.2325602488463663,1.1837794587276258,1.1271617727378642,0.6884917806702163,1.0576644735029057,1.0366851674886497
1487.6,1.2385856711208365,1.199098191171605,1.0916028658108723,0.6945271605376585,0.9345738309785968,1.0424813216800122
1492.6,1.2341190307545449,1.2051872643257624,1.056176136691163,0.6353152784711282,0.8722668834620885,0.9734247893519553
1497.61,1.2348018160755416,1.2144757506676238,1.0407400559508675,0.6009391728498786,0.8004398968402942,0.9280142011065107
1502.61,1.228367469621967,1.2152569213214586,1.0153176497690402,0.5854527027361269,0.7345735838404749,0.9059851890269041
1507.61,1.2268715637635565,1.2219405168656896,1.0110493717201063,0.5517508214100718,0.6756790888669596,0.8556845701903105
1512.62,1.2197131197634072,1.2215080760043566,0.9899435784836531,0.5303672186527274,0.6271245903174726,0.8197769868021952
1517.62,1.2116787649320788,1.2204693565958598,0.9708033416800996,0.5136373745384671,0.5684163723172276,0.7912438732464724
1522.63,1.205015098634647,1.2206765090152734,0.9607660706170522,0.49353926075860016,0.523841696016762,0.7458492209997387
1527.63,1.1975856121563537,1.2187123111409928,0.9468280311902597,0.4842360440492672,0.4794990595214821,0.7214597027224647
1532.63,1.1879342931243544,1.2151343622333548,0.9310168332170647,0.47520198317674334,0.4360366899457622,0.6882236922090995
1537.64,1.1782735271808966,1.2108731728675755,0.9132248601899661,0.4706022751896171,0.39923353512127746,0.6596446240784524
1542.64,1.1691000267742155,1.2066965881125742,0.9001832719017249,0.4694278869388991,0.3669701469239596,0.633626111364688
1547.64,1.1611565483754533,1.203192672457251,0.8908057124253062,0.4717274539701448,0.33938908541842505,0.6096116222431738
1552.64,1.1523171695961354,1.1986337904744044,0.8778906926268528,0.4760834762590503,0.3175287298466475,0.5883783140558068
1557.65,1.143550368160002,1.1934949231190082,0.8627461018244744,0.4814022355795755,0.29970512231025503,0.5696499101127688
1562.65,1.135857062574087,1.1890317002906645,0.851587844751802,0.4880554103452529,0.28626831437998773,0.554840642823694
1567.65,1.1286586132679728,1.1845271046810695,0.8365737297285916,0.4955759224124571,0.27638691833197737,0.5386304089361151
1572.65,1.1215304310484542,1.1801594546987302,0.8285322170654067,0.5014478510549899,0.27085976707106735,0.5335060143812252
