id_lote,re_slope_max,re_slope_wl_nm,re_area_680_760,re_contrast_750_680,re_curvature_mean,re_curvature_min,re_reflectance_705,re_reflectance_720,re_reflectance_740,cab_reference
A47,0.012929782435129763,725.96,19.598615318084985,0.5338772620518962,3.2872223071553396e-05,-0.0004954675680059894,0.09494900347305418,0.2470089243512968,0.48840001631999985,26.46978946924209
A48,0.011883632734530959,725.96,18.461206651909983,0.4909765993233533,2.878389758815264e-05,-0.00047068687154328676,0.09356159261477073,0.23497036860279386,0.45562860207999983,24.82208051085472
A49,0.012585369261477072,725.96,19.413084199424983,0.5190029196646706,3.0387717847987967e-05,-0.000492012288492381,0.09738777195608811,0.2461187177245503,0.4800959140399998,25.287163245677952
A50,0.012816720558882264,725.96,17.762954816064983,0.5127607693952095,4.210537920869853e-05,-0.0005057736465790401,0.07473434989221578,0.20599458001995954,0.4550906933199998,33.57304747104644
A51,0.013321006986027967,725.96,18.176916046449985,0.533686541007984,4.5719682405904354e-05,-0.0005287577724760221,0.0738607394690621,0.20977467077844256,0.4683220755999998,34.85660563111305
A52,0.010918423153692632,730.97,15.132713598679985,0.4321437786147705,3.817462661678088e-05,-0.0004431240387061115,0.06839699731736544,0.1716122019560874,0.3837169444799998,34.685715335607526
A53,0.008714229561492409,735.98,10.740760314289988,0.3201909524231537,3.5396211924616864e-05,-0.00037182230659725004,0.04944378642315379,0.11046455852295381,0.2711725483599998,41.24896676540374
A54,0.012856235528942137,725.96,18.650387325834984,0.5151693691616767,3.475176681014564e-05,-0.0004988695208044669,0.08683813493812399,0.22604714638722498,0.4676221951999998,29.37019663453102
A55,0.01085038160227,735.98,12.640212063004988,0.40072676385229544,4.659635487717855e-05,-0.0004637333318123068,0.05135130595209593,0.12643726604790387,0.3264167983999998,46.50124055743217
A56,0.011413961818237665,735.98,13.188789447779985,0.4195230980838323,5.17105956828334e-05,-0.00048388654772560564,0.05414100728143725,0.1309970574650695,0.3390514081599998,47.14456235766411
A57,0.00915692215568864,730.97,11.818712312149989,0.3573285716427146,3.375265772769002e-05,-0.0003976037171980819,0.05144200876047917,0.12692269139720527,0.30358788311999985,39.41675080657005
A58,0.009117651647729524,735.98,11.010172253319988,0.3319149375928143,3.6885102431151855e-05,-0.0003902313164120526,0.04966619647704601,0.11281370187624723,0.2798165317599998,41.81528135538101
A59,0.008524486027944131,725.96,13.926361517364988,0.3490261787744511,1.8159028540603664e-05,-0.0003410863654925368,0.0824408012574852,0.1691125432335326,0.3315802126399998,24.00220870375633
A60,0.013030156686626774,725.96,19.693287786054984,0.5387470849121756,2.8572317130726807e-05,-0.00047009700468166006,0.09612179573253522,0.25145033668662614,0.4905545538399998,25.74505686163902
A61,0.006173591816367275,725.96,14.613649648309991,0.2986290179141717,8.58216795793592e-06,-0.000237530869107138,0.11775582421157704,0.1957038642914169,0.3117678087999999,12.155733841657636
A62,0.007595058882235547,725.96,14.928131481399989,0.3410898310379241,1.771643122214895e-05,-0.0002988157008016976,0.1051998760538924,0.19004891059880208,0.3361534168399999,18.059552538394925
A63,0.012658941117764493,725.96,19.438881694034983,0.5255158920179641,3.175242210694379e-05,-0.0004809314441944197,0.09709508863872283,0.24271679716566813,0.4807907721199998,26.3195195376873
A64,0.010667464085758568,735.98,12.424518837809986,0.38730380169860273,4.485635133337065e-05,-0.00044782697686887596,0.051213727097804515,0.12570616347305355,0.3218603474399998,44.46227653622627
A65,0.0036725858283433183,720.95,8.251455142564996,0.17603170911776447,5.7933921511148055e-06,-0.00011383933722299659,0.06358420066267478,0.11527977796407168,0.17851820551999995,12.897299596667288
