id_lote,u_blue_445,u_red_670,u_rededge_705,u_rededge_750,u_nir_900,u_wbi_970,u_swir_1240,u_swir_1750,u_swir_2000,u_swir_2200,unc_visible_mean,unc_rededge_mean,unc_nir_mean,unc_swir_mean,su_rededge_proxy,su_swir_proxy,uncertainty_score,uncertainty_class
A46,0.0016763401217758656,0.0005440487875603139,0.00120268773753196,0.0024267304688692093,0.002008083276450634,0.0023462732788175344,0.001671853824518621,0.001986757153645158,0.0008297573658637702,0.0008580978610552847,0.0011101944546680897,0.0018720584533487756,0.0021771782776340842,0.001119903017145892,73.40409504894782,93.0461831537045,0.0015398069963945696,MEDIO
A47,0.0016969586722552776,0.0005795226898044348,0.0013325456529855728,0.0024432120844721794,0.0020138921681791544,0.0023679914884269238,0.0017022369429469109,0.0022135593462735415,0.0008492967463098466,0.001003290293738246,0.0011382406810298562,0.0019964390279104314,0.002190941828303039,0.0011849413276650012,76.27519535430163,93.98188051755629,0.0016105254685195784,BAJO
A48,0.001680165296420455,0.0005975704407319427,0.0013190372847020626,0.0022883121855556965,0.001888012164272368,0.002243105787783861,0.0016332826344296336,0.002367457142099738,0.0008455864735879004,0.0011415784247219563,0.0011388678685761988,0.001991602204119166,0.0020655589760281146,0.0012068158442464967,75.73582730268654,94.88059826112654,0.001596712944835114,BAJO
A49,0.0017188036581501365,0.0006119882455095649,0.0013641779078170657,0.0024015645030885935,0.0019758655689656734,0.0023360969498753548,0.001693312544375658,0.0023369486443698406,0.0008599120774306357,0.001094041159376502,0.0011653959518298507,0.0020342303517585,0.002155981259420514,0.0012157552603942652,76.23597289184819,94.46191320114613,0.0016331835805128017,BAJO
A50,0.0016445297515019774,0.0005486518493853509,0.0010982878739014268,0.0023664182517677546,0.0020023372489959,0.002361218212172389,0.001690276782028377,0.0021379459649324417,0.0008456088835373521,0.000981365330517292,0.0010965908004436642,0.0018675506968672078,0.0021817777305841446,0.0011724169986943405,72.76604422127379,94.9393124659322,0.0015519526631881794,MEDIO
A51,0.0016601247480139136,0.0005351584986783564,0.0010967323323711753,0.0024415445514023304,0.002067975699901581,0.002427245257422328,0.0017284037312492728,0.0020979801192879677,0.0008468713494949043,0.0009400771814398468,0.001097641623346135,0.0018787523343538244,0.0022476104786619544,0.0011717840873946745,72.19946714692217,94.33728097822548,0.001565768439710761,MEDIO
A52,0.0015516654821112752,0.0005398121429607272,0.0010059471242129803,0.0020325593650341034,0.0017378147458657622,0.002051756950095296,0.0014698558952659369,0.0018846807070076466,0.0007745517650619149,0.0008833056781440973,0.0010457388125360012,0.0016410623987515767,0.001894785847980529,0.001042571112823983,72.09641367257876,94.26349478690727,0.0013805088131145261,MEDIO
A53,0.0014932281337678432,0.0005533929215744138,0.0008390630828216672,0.0015611400594934821,0.0013694571098312736,0.0016083711525425315,0.0011669103987514973,0.0015829107724130154,0.0006734021590091288,0.0007671933271922171,0.0010233105276711285,0.0013277046382427216,0.0014889141311869025,0.0008691686283176144,61.73856419209188,91.60153719780686,0.0011534464370924979,ALTO
A54,0.0017352828290313482,0.00063195766415447,0.0012648666743189096,0.002381841419264674,0.0019749593921005726,0.002316238358616829,0.0016629522433504462,0.002092930255457759,0.0008381691295653582,0.0009462848538532853,0.001183620246592909,0.0019132127830137808,0.0021455988753587008,0.00114913540892303,73.19729571486573,92.88455718629824,0.0015729289773541192,BAJO
A55,0.0016315148677676916,0.0005849243025295436,0.0009253723546862602,0.001881918404251337,0.0016362114110961556,0.0018965377239510417,0.0013503609225153923,0.0016614054329693317,0.0007377105066552758,0.0007630821783095598,0.0011082195851486176,0.0014895653973023097,0.0017663745675235987,0.0009503845358267426,58.57475396309763,90.61466696358094,0.0012930633519620946,ALTO
A56,0.0016251466004177928,0.000575845711864531,0.0009334987262263894,0.001954334555193782,0.0017030350863933563,0.001957912929356098,0.00138428236823529,0.0016183198895305395,0.000751020445022732,0.0007355494308285415,0.001100496156141162,0.0015020510569835703,0.0018304740078747272,0.0009569507480288545,61.141893819958064,90.59839834418175,0.0013074734267623472,MEDIO
A57,0.0015708587598055601,0.0005427788128145039,0.0009013041271828115,0.0017078969394788146,0.001484604668803513,0.0017633205279707909,0.0012762504629790783,0.0017242151079699397,0.0007049581618048251,0.0007902797078713775,0.001056818786310032,0.001444472058210522,0.001623962598387152,0.0009238294442184269,60.41253263778287,91.2658978990593,0.00123767220065929,ALTO
A58,0.0014791401335969567,0.0005349030252546072,0.0008349078707396984,0.001591978594660759,0.0013825458008795977,0.0016142434906214476,0.0011647534556686878,0.001564683741889894,0.000678305805195123,0.0007585109560750425,0.001007021579425782,0.0013305234024301171,0.0014983946457505226,0.0008671900723129511,62.4046278948591,91.91140429841572,0.001152003725292161,ALTO
A59,0.0017243829788640141,0.0007603701669722795,0.0012703054817393422,0.0017783031798899174,0.0014880477683618665,0.001770211267285049,0.0013341368176043034,0.0024480936117470264,0.0008306358358822763,0.001336691901087761,0.0012423765729181468,0.0018322340911254287,0.0016291295178234577,0.0011671548515247803,67.84978199258498,93.28079567882047,0.001484273129608482,MEDIO
A60,0.0018035292159765959,0.000639508303720504,0.001440512016415596,0.002471023704856634,0.0020203415770083666,0.0023848835844546556,0.0017287129303440452,0.0024032944347709417,0.0008706813678145409,0.001124854781664908,0.00122151875984855,0.002104943385347724,0.002202612580731511,0.0012414163599411647,71.54730319879901,92.90241210968395,0.0016838507319334893,BAJO
A61,0.0017002859385684133,0.0009225838584825397,0.0016378130530938506,0.001638822490349412,0.0013743613380938768,0.0016498379409313202,0.0012320340611040592,0.002159635303542018,0.0007616778020747006,0.0011923674028366804,0.0013114348985254765,0.0018120902823284268,0.0015120996395125985,0.0010620264220051467,74.54091892196215,93.39787123741823,0.0014419414510484785,MEDIO
A62,0.0017451692838221788,0.000874930527061224,0.0015314171323552728,0.0017849537543952465,0.0015052409144118428,0.0017937480006366968,0.0013121840311214328,0.0020722702611237764,0.0007822976331226528,0.0011130629573017359,0.0013100499054417014,0.0017962137159580986,0.0016494944575242698,0.0010691815405152738,71.49580129850571,93.07154748020578,0.0014588634124568973,MEDIO
