id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls,PC1,PC2,PC3,PC4,PC5,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score,REIP_range,re_slope_max,re_slope_wl_nm,uncertainty_score,subzone_critica_pct,score_mean,anomaly_score,anomaly_class,anomaly_flags
A32,54.36022877693176,25.08980379104614,39.72501628398895,76.8,76.4,34.3,70.8,80.5,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO,-16.749918,3.586822,4.036155,1.4367044,0.040110637,3998,5.64,1.58,0.11,2.44,1.7,0.009336016307780054,735.98,0.0012142427808915575,3.1,0.7437,1.10857629560143,NORMAL,sin_alerta_mayor
A33,54.67074182033539,25.922089648246764,40.296415734291074,71.6,76.9,31.3,85.5,84.5,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO,-11.205213,-2.5467865,0.24562158,0.30927658,0.31398094,4265,5.02,0.67,0.34,2.01,5.6,0.010099779441117788,730.97,0.0013177681723997618,18.5,0.7523,2.0746026202864254,ATIPICO,sin_alerta_mayor
A34,55.46437473297119,25.746807384490968,40.60559105873108,74.2,70.7,31.7,80.7,83.1,ALTO,ALTO,MEDIO,MEDIO,MEDIO,MEDIO,-15.172572,0.016589796,0.8973401,0.28280413,-0.11444885,9220,6.42,2.18,0.23,2.94,3.25,0.009552240930785789,735.98,0.0012485496282655124,8.3,0.7394,1.3630626527957177,NORMAL,heterogeneidad_alta
A35,23.99509898424148,20.668541407585145,22.33182019591331,15.5,63.9,38.3,88.2,78.5,BAJO,BAJO,BAJO,ALTO,ALTO,MEDIO,17.424847,-1.008183,-4.9465356,0.9244412,-3.2831361,1539,3.43,0.72,0.03,1.39,0.53,0.012605019960079865,720.95,0.0016547520906897261,100.0,0.2571,0.7703362530612516,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta"
A36,23.53033872842789,20.284624397754666,21.907481563091277,15.6,63.3,43.7,82.6,74.6,BAJO,BAJO,BAJO,ALTO,MEDIO,BAJO,19.071009,1.674381,-4.4182034,0.64138216,-2.0382395,1256,4.57,0.93,0.05,1.85,0.71,0.012423656686626771,720.95,0.0016570177598623558,100.0,0.2427,0.8385771031127877,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta"
A37,33.519562411308286,23.79537193775177,28.657467174530023,35.9,76.6,30.1,90.0,81.9,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO,5.3396497,-7.136689,-2.9439788,1.5620401,-0.45115668,1485,2.22,0.66,0.04,0.97,0.65,0.012649592814371283,725.96,0.0015626188299696273,17.98,0.5175,0.4992544710950572,NORMAL,sin_alerta_mayor
A38,52.1994448184967,26.5486932516098,39.37406903505325,60.2,76.4,48.5,99.6,81.6,ALTO,ALTO,ALTO,ALTO,ALTO,MEDIO,-10.806242,-6.9400826,-8.1251545,-0.77843106,-0.05286206,1933,6.0,1.74,0.38,2.71,6.13,0.010750058882235548,725.96,0.0013665898877661675,14.64,0.6947,2.382502951809686,ATIPICO,"funcion_alta, heterogeneidad_alta"
A39,19.220754492282865,17.297263813018798,18.259009152650837,8.2,51.3,47.7,56.9,66.0,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO,22.636276,16.632088,1.3761234,-1.4235833,-1.3214135,2565,9.5,1.88,0.09,3.83,1.54,0.010378883233532955,720.95,0.0015871592797338963,100.0,0.1059,1.9541113474634584,ATIPICO,"clorofila_muy_baja, N_bajo, agua_baja, funcion_alta, heterogeneidad_alta, subzona_critica_extensa"
A40,24.206825613975525,20.78564544916153,22.49623553156853,16.0,64.1,41.2,89.1,77.7,BAJO,BAJO,BAJO,ALTO,ALTO,MEDIO,17.036066,-1.437805,-5.897681,0.7436036,-3.19812,1047,2.56,0.76,0.03,1.12,0.51,0.012598410179640737,720.95,0.0016555693786358462,100.0,0.2629,0.7966846453140274,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta"
A41,54.725965762138365,25.44487801790237,40.08542189002037,75.6,65.9,26.6,78.5,88.4,ALTO,ALTO,BAJO,BAJO,BAJO,ALTO,-18.454906,1.1606905,2.9402814,-0.037983976,-1.1426184,6785,4.7,1.07,0.16,1.98,1.01,0.009007747707769284,735.98,0.0011916701313263425,4.39,0.7086,0.9586104332826826,NORMAL,sin_alerta_mayor
