id_lote,d1_680.89,d1_685.89,d1_690.90,d1_695.91,d1_700.91,d1_705.92,d1_710.93,d1_715.94,d1_720.95,d1_725.96,d1_730.97,d1_735.98,d1_740.98,d1_745.99,d1_751.00,d1_756.02
A23,0.0004662102000000001,0.0005989127168444336,0.0008920829341317379,0.0014052154405299298,0.0020716610707480166,0.0026947716566866325,0.0034185491017963655,0.004768937325349278,0.006378113772455102,0.007876986027944127,0.008767707584830356,0.009239667136583987,0.009051396325558674,0.007295442115768477,0.005166853546813989,0.004197834661354596
A24,0.0006139826000000001,0.0008468106675412423,0.0017036194610778473,0.003438829441427635,0.0056377126939037075,0.007476949800399217,0.00883022255489012,0.010875325349301327,0.012448536926147728,0.012775666666666692,0.01202503493013974,0.010913451778229763,0.009188604768951607,0.006378800399201606,0.004177885951191299,0.0032241314741035835
A25,0.0006699277999999996,0.000882943199969293,0.0017179514970059912,0.003466212026410318,0.005708330486792257,0.007609787425149713,0.009026769461077744,0.0111461786427145,0.01278392914171659,0.013121291417165688,0.012350954091816392,0.011212702010049848,0.009490005544838392,0.006652901197604796,0.004374169337824738,0.003388764940239059
A26,0.0006695409999999995,0.0009116001972897373,0.001886205189620762,0.0038657225989347987,0.006360637564209052,0.008422682634730554,0.00985526007984021,0.011990533932135651,0.013597543912175672,0.013777300399201622,0.012741058882235555,0.01151998863092598,0.009726527600937979,0.0067150399201596905,0.004417329934122707,0.003431886454183287
A27,0.0007233066000000004,0.0009488903908598399,0.0019335312375249533,0.0039166263079662865,0.006351892538741505,0.008324422754491034,0.00967630239520948,0.011717183632734449,0.013201729540918188,0.013297445109780467,0.012219830339321378,0.01095292486545791,0.009221785745097216,0.006360249500998019,0.004166491563313744,0.003230039840637457
A28,0.0005970913000000001,0.0008341538469341049,0.001813673303393217,0.0037638248011110666,0.006174476325235649,0.008201236526946123,0.00963932335329331,0.01176441616766459,0.013539867265469085,0.013909207584830365,0.013057074850299423,0.011890502748433222,0.009954304216426298,0.00690030838323355,0.0045860174720766325,0.003597770916334682
A29,0.0005517995999999997,0.0007573377747992533,0.0015845411177644742,0.003258444452937483,0.005404851239763437,0.007319721856287438,0.008667908782435037,0.010547714570858216,0.012203349301397232,0.012555027944111799,0.011799453093812393,0.010726913667123313,0.008900486601175275,0.006178054890219567,0.004175251856425859,0.003335609561753005
A30,0.0005184632000000001,0.0007315163512399783,0.0015472749500998033,0.0032072048852233603,0.005369764680717294,0.00731625648702596,0.008761937624750405,0.010830056886227478,0.012584426147704615,0.013001084830339345,0.012268902195608805,0.011237533418051025,0.009466361476220375,0.006630216566866277,0.0044821532187994464,0.003570906374501999
A31,0.0005104487999999998,0.0006823334534702826,0.0010726176646706608,0.0016502929282186884,0.002382264948214662,0.0031005417165668714,0.0038846187624750035,0.00537339061876245,0.007135212574850313,0.008624615369261493,0.009406944111776464,0.009773827032041823,0.00915911041133717,0.007034838323353304,0.004982959612799848,0.0040763107569721305
A32,0.0005203823999999996,0.0007071623043272102,0.0011243695608782454,0.0017337001964502579,0.0024862494436102838,0.003180745508982041,0.003940893712574804,0.0053878463073852014,0.007046652694610791,0.008407578842315383,0.009070632734530956,0.009336016307780054,0.008644467337787957,0.006556319361277461,0.004619793883441026,0.003765810756972126
A33,0.0005132697999999998,0.0007155365254900795,0.001260157684630741,0.0022170795368782925,0.0034499316149399543,0.004509913173652703,0.005431690618762412,0.007072460079840279,0.008697847305389235,0.009794215568862296,0.010099779441117788,0.010010703765703372,0.0091620394559612,0.0068967115768463205,0.004768158529818066,0.0038177091633466243
A34,0.0004952177999999998,0.0006937733185333637,0.0011505240518962095,0.0018712907223219903,0.0027916701433002154,0.003600963772455096,0.004398258483033881,0.005924175249500967,0.007577908682634745,0.008886276447105804,0.009437216566866281,0.009552240930785789,0.008829314156960807,0.006688202594810393,0.004667354718407159,0.0037640637450199366
A35,0.0006240385999999994,0.0010742976836309412,0.002442330239520963,0.004655779585221168,0.00709715976193069,0.008862167664670677,0.009808318363273352,0.011422710578842237,0.012605019960079865,0.012388356287425174,0.011187465069860299,0.009795020665302773,0.007968943548806486,0.005334835329341328,0.0034154543272434112,0.00260580278884463
A36,0.0006902570000000003,0.0010892220499201413,0.0023945417165668705,0.004560223911884924,0.00695597765913568,0.00867863433133734,0.009655293912175547,0.011319220558882157,0.012423656686626771,0.012144250499002016,0.010962293413173674,0.00960378501633298,0.007837162417375032,0.005267660678642726,0.0033689517054914034,0.0025588645418326695
A37,0.0005658642000000002,0.0008347080665127295,0.0017313152694610804,0.003488996458223614,0.00568164054068806,0.007457270858283447,0.008723290419161584,0.010667575848303324,0.012232480039920179,0.012649592814371283,0.011963417165668688,0.010947341100320848,0.009317787021664956,0.006525013972055897,0.004301300808102856,0.0033259741035856706
A38,0.0004911597,0.0006980150106574071,0.0013398907185628766,0.002556630474520291,0.004109913518821302,0.005440598003992026,0.006492251497005916,0.008225509980039868,0.009852050898203613,0.010750058882235548,0.010740214570858296,0.010322494551189335,0.009188062117355705,0.006734825349301414,0.004543590822977631,0.003565318725099608
A39,0.0006401291999999995,0.0010698427706608768,0.0023229112774451137,0.004211852210003572,0.006222873922821695,0.007634970059880253,0.008332832734530856,0.009578423153692544,0.010378883233532955,0.009974552894211591,0.008833514970059898,0.007578893422661187,0.006079945265030376,0.004054514970059889,0.00264694718013736,0.0020688605577689335
A40,0.0006525256,0.0010834388727551903,0.0024213896207584875,0.004628922394336205,0.00707547763550223,0.008835900199600816,0.009802199600798304,0.011428265469061796,0.012598410179640737,0.012401207584830369,0.01123079441117767,0.009871350660600887,0.00805334132462747,0.005392510978043927,0.0034433589411961563,0.002618027888446214
