id_lote,n_px_total,NDRE_mean,NDRE_std,NDRE_p25,NDRE_p50,NDRE_p75,NDRE_npx,CIre_mean,CIre_std,CIre_p25,CIre_p50,CIre_p75,CIre_npx,PRI_mean,PRI_std,PRI_p25,PRI_p50,PRI_p75,PRI_npx,NDWI_mean,NDWI_std,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_npx,WBI_mean,WBI_std,WBI_p25,WBI_p50,WBI_p75,WBI_npx,MCARI_mean,MCARI_std,MCARI_p25,MCARI_p50,MCARI_p75,MCARI_npx,mNDVI705_mean,mNDVI705_std,mNDVI705_p25,mNDVI705_p50,mNDVI705_p75,mNDVI705_npx,NDVI_mean,NDVI_std,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_npx,SIPI_mean,SIPI_std,SIPI_p25,SIPI_p50,SIPI_p75,SIPI_npx,TCARI_OSAVI_mean,TCARI_OSAVI_std,TCARI_OSAVI_p25,TCARI_OSAVI_p50,TCARI_OSAVI_p75,TCARI_OSAVI_npx,Datt1_mean,Datt1_std,Datt1_p25,Datt1_p50,Datt1_p75,Datt1_npx,REIP_mean,REIP_std,REIP_p25,REIP_p50,REIP_p75,REIP_npx
A11,1252,0.7119905352592468,0.019932031631469727,0.6978869438171387,0.7138259410858154,0.7288405299186707,1252,2.2255234718322754,0.19076380133628845,2.0687003135681152,2.2266454696655273,2.392763614654541,1252,-0.039854995906353,0.022145671769976616,-0.053625598549842834,-0.038033563643693924,-0.025006283074617386,1252,0.11627548187971115,0.01933683641254902,0.10104603320360184,0.11799748241901398,0.1348671317100525,1252,1.136199712753296,0.01638956554234028,1.1230852603912354,1.1358215808868408,1.1512528657913208,1252,0.2602061927318573,0.09112716466188431,0.20044663548469543,0.2480759620666504,0.30536675453186035,1252,0.7293477058410645,0.016743941232562065,0.7190201282501221,0.7336229085922241,0.7411347031593323,1252,0.9640955328941345,0.015145864337682724,0.9583346843719482,0.9668668508529663,0.9743186831474304,1252,1.00824773311615,0.006601615343242884,1.0044934749603271,1.0072972774505615,1.0104342699050903,1252,0.15469832718372345,0.008280932903289795,0.14986051619052887,0.15519677102565765,0.1603573113679886,1252,0.7901663780212402,0.011549422517418861,0.7806582450866699,0.7904239296913147,0.7992368340492249,1252,722.75830078125,0.5318412184715271,722.2984619140625,722.7603759765625,723.155517578125,1252
A12,573,0.697428286075592,0.02486681006848812,0.6855722665786743,0.7082638144493103,0.7152637243270874,573,2.1321351528167725,0.17286939918994904,2.0154688358306885,2.204146385192871,2.2645437717437744,573,-0.0485396571457386,0.02658117562532425,-0.060034457594156265,-0.04387509822845459,-0.03115975297987461,573,0.12040678411722183,0.014958193525671959,0.11131780594587326,0.12565061450004578,0.13254453241825104,573,1.1431399583816528,0.01251784898340702,1.1357219219207764,1.1466703414916992,1.1530497074127197,573,0.21608000993728638,0.06444625556468964,0.16769945621490479,0.21949544548988342,0.26172223687171936,573,0.7093486189842224,0.025864191353321075,0.6972658038139343,0.7202838659286499,0.7273119688034058,573,0.9524606466293335,0.02135622315108776,0.9447939991950989,0.9602338075637817,0.9669952988624573,573,1.0190646648406982,0.013275714591145515,1.0110206604003906,1.0143282413482666,1.0232419967651367,573,0.16077765822410583,0.01328647043555975,0.1538407802581787,0.16272807121276855,0.16985563933849335,573,0.7851822376251221,0.010087023489177227,0.7797383666038513,0.788819432258606,0.792267382144928,573,722.6248779296875,0.3867885172367096,722.3651123046875,722.7734985351562,722.916748046875,573
A13,1632,0.692452073097229,0.06563422828912735,0.6886250376701355,0.7124801874160767,0.722454309463501,1632,2.1582791805267334,0.3117065131664276,2.0652332305908203,2.255725383758545,2.3459243774414062,1632,-0.039790526032447815,0.03321022540330887,-0.05044403672218323,-0.033600568771362305,-0.020863613113760948,1632,0.11351505666971207,0.03666413947939873,0.10905306786298752,0.12498434633016586,0.1294814795255661,1632,1.136852741241455,0.0212546493858099,1.129109501838684,1.142746925354004,1.1485720872879028,1632,0.1887240707874298,0.060115404427051544,0.15230461955070496,0.19270679354667664,0.23034018278121948,1632,0.7186891436576843,0.06055045127868652,0.7161862254142761,0.7362075448036194,0.7448204755783081,1632,0.9377913475036621,0.06942582875490189,0.9409923553466797,0.9572713375091553,0.9648714065551758,1632,1.0187945365905762,0.05073581263422966,1.0046521425247192,1.0074944496154785,1.0121898651123047,1632,0.16304340958595276,0.010846634395420551,0.1573851853609085,0.1643551141023636,0.1700901985168457,1632,0.7901701331138611,0.017482174560427666,0.7847634553909302,0.7942980527877808,0.8005343079566956,1632,722.7802734375,0.605640709400177,722.5040893554688,722.9049072265625,723.1768798828125,1632
A14,672,0.7180696725845337,0.026456857100129128,0.7177152633666992,0.7244554758071899,0.7292736768722534,672,2.3004329204559326,0.1653868705034256,2.255321502685547,2.3278355598449707,2.3984391689300537,672,-0.034725818783044815,0.02865264005959034,-0.05207429081201553,-0.03285732865333557,-0.014985669404268265,672,0.1065376028418541,0.013975157402455807,0.1045440286397934,0.10994847118854523,0.11434783041477203,672,1.1256027221679688,0.008362453430891037,1.1228992938995361,1.127051591873169,1.1309866905212402,672,0.18984630703926086,0.049402426928281784,0.16240668296813965,0.19010047614574432,0.22013847529888153,672,0.7440397143363953,0.02481262758374214,0.739960253238678,0.7479468584060669,0.7566699981689453,672,0.9583575129508972,0.025073647499084473,0.9589945077896118,0.9640265703201294,0.9683538675308228,672,1.0058666467666626,0.011793558485805988,1.000551700592041,1.003493070602417,1.00714910030365,672,0.1447184681892395,0.009530600160360336,0.1377362310886383,0.14414358139038086,0.1511061191558838,672,0.7987474799156189,0.009946301579475403,0.7944415211677551,0.7993363738059998,0.805165708065033,672,722.9251098632812,0.3740912079811096,722.7262573242188,722.9413452148438,723.200927734375,672
A15,1418,0.6959689855575562,0.015547474846243858,0.6934489011764526,0.6996744871139526,0.7036501169204712,1418,2.103872060775757,0.09101095795631409,2.0817782878875732,2.124056816101074,2.1558070182800293,1418,-0.025275226682424545,0.0216844342648983,-0.03854468837380409,-0.024744627997279167,-0.010761691257357597,1418,0.11932126432657242,0.008976801298558712,0.11729969084262848,0.12088768184185028,0.1240883395075798,1418,1.1379616260528564,0.006337324623018503,1.1358497142791748,1.139148235321045,1.1416783332824707,1418,0.2361198365688324,0.04403568431735039,0.21319925785064697,0.23670357465744019,0.26423484086990356,1418,0.7258453965187073,0.014699405059218407,0.723227322101593,0.7283392548561096,0.7325270175933838,1418,0.9568413496017456,0.015469705685973167,0.9553701877593994,0.9597204327583313,0.9632372856140137,1418,1.0024782419204712,0.00832007173448801,0.9988003373146057,1.0013705492019653,1.0040189027786255,1418,0.18300345540046692,0.008518395945429802,0.1785477250814438,0.18311092257499695,0.1877191662788391,1418,0.7813159227371216,0.005243394058197737,0.7789193391799927,0.7824451923370361,0.7844804525375366,1418,722.5281982421875,0.18723717331886292,722.4564819335938,722.5499267578125,722.6478881835938,1418
A16,731,0.6771199107170105,0.018850892782211304,0.6677150726318359,0.6807688474655151,0.6902722716331482,731,2.0054526329040527,0.11649566143751144,1.9410039186477661,2.02508544921875,2.0880134105682373,731,-0.019921183586120605,0.01970379240810871,-0.02928929775953293,-0.018016356974840164,-0.007368202321231365,731,0.10580415278673172,0.011937900446355343,0.09960140287876129,0.10841509699821472,0.11469361186027527,731,1.1258652210235596,0.008442189544439316,1.1202889680862427,1.1275932788848877,1.13206148147583,731,0.1534547209739685,0.028481006622314453,0.13254068791866302,0.14930503070354462,0.17421147227287292,731,0.7266759872436523,0.01704787090420723,0.7208335399627686,0.7302033305168152,0.7362434267997742,731,0.932458221912384,0.0182182639837265,0.9234039783477783,0.9351307153701782,0.946013331413269,731,1.0002912282943726,0.009390301071107388,0.9959670305252075,0.9987708926200867,1.0026109218597412,731,0.1787249594926834,0.0066628712229430676,0.1751280426979065,0.17916224896907806,0.18317997455596924,731,0.7809581160545349,0.006557156331837177,0.7775444984436035,0.7818618416786194,0.7853012084960938,731,722.4561157226562,0.2747606039047241,722.2938232421875,722.4796142578125,722.6521606445312,731
A17,782,0.7502076029777527,0.015452785417437553,0.7393164038658142,0.7547920942306519,0.7616372108459473,782,3.5964488983154297,0.2661515772342682,3.3862898349761963,3.662158250808716,3.8182525634765625,782,-0.03250398859381676,0.01861712709069252,-0.0432327464222908,-0.03123103827238083,-0.018690329045057297,782,0.11625157296657562,0.013349749147891998,0.10490821301937103,0.12111067771911621,0.12760864198207855,782,1.1459354162216187,0.012784551829099655,1.1336363554000854,1.1493799686431885,1.1576063632965088,782,0.06870204210281372,0.009248541668057442,0.06255896389484406,0.06847894191741943,0.07475511729717255,782,0.8048514127731323,0.01365460641682148,0.7965409755706787,0.8077809810638428,0.814864456653595,782,0.9348464012145996,0.009963668882846832,0.9301204681396484,0.9363052845001221,0.9420186281204224,782,1.0029433965682983,0.004017873667180538,1.000442385673523,1.0028539896011353,1.0049852132797241,782,0.11812809854745865,0.00681387260556221,0.11389462649822235,0.11800875514745712,0.12254726886749268,782,0.8679288029670715,0.0076024471782147884,0.8628984689712524,0.870225191116333,0.8739001154899597,782,726.9135131835938,0.5775305032730103,726.4534301757812,727.094970703125,727.3737182617188,782
A18,648,0.6849795579910278,0.07646279782056808,0.6519814729690552,0.7182850241661072,0.7396135926246643,648,2.813992500305176,0.7743067741394043,2.2521190643310547,3.0821378231048584,3.436455249786377,648,-0.046280909329652786,0.023128777742385864,-0.060160502791404724,-0.04460592940449715,-0.03141139820218086,648,0.08182171732187271,0.028734788298606873,0.06268619000911713,0.08980640023946762,0.10551001876592636,648,1.1203646659851074,0.021960049867630005,1.1034531593322754,1.126286506652832,1.139053463935852,648,0.07088513672351837,0.016332942992448807,0.05959542468190193,0.06660238653421402,0.07663079351186752,648,0.7508710026741028,0.07927235960960388,0.7165218591690063,0.7861156463623047,0.8057178854942322,648,0.9001750946044922,0.038440678268671036,0.8866292834281921,0.9154130220413208,0.9260351657867432,648,1.0100101232528687,0.01827232912182808,0.9991176724433899,1.0034534931182861,1.0144214630126953,648,0.13832561671733856,0.03364391624927521,0.11655008792877197,0.12315929681062698,0.14973893761634827,648,0.830986499786377,0.04970692843198776,0.8121232986450195,0.854265570640564,0.8652348518371582,648,725.0203247070312,2.2044894695281982,723.796630859375,725.9058837890625,726.6891479492188,648
A19,503,0.6882065534591675,0.03141855448484421,0.6815968155860901,0.69806969165802,0.7071353197097778,503,2.690951347351074,0.3244355022907257,2.5771260261535645,2.7734920978546143,2.9214096069335938,503,-0.045718684792518616,0.019117971882224083,-0.056564733386039734,-0.043776579201221466,-0.03232622519135475,503,0.077039435505867,0.01913355104625225,0.07256543636322021,0.08221355080604553,0.0880531594157219,503,1.1187654733657837,0.01411262433975935,1.1156705617904663,1.1224961280822754,1.1269670724868774,503,0.07398855686187744,0.0107357706874609,0.06731389462947845,0.07318077236413956,0.0791185200214386,503,0.7402164936065674,0.029689805582165718,0.7326691150665283,0.7477831244468689,0.7592301964759827,503,0.9085597991943359,0.01958225667476654,0.903602123260498,0.9124337434768677,0.9201275706291199,503,1.015331745147705,0.00902633462101221,1.010123610496521,1.0135310888290405,1.0177721977233887,503,0.13211765885353088,0.010586228221654892,0.12473545968532562,0.13033731281757355,0.13846629858016968,503,0.8323141932487488,0.018506767228245735,0.8277873396873474,0.8376467227935791,0.8433171510696411,503,724.9325561523438,0.7982937097549438,724.630615234375,725.145751953125,725.4801025390625,503
A20,6919,0.7142543196678162,0.0680723562836647,0.7167665362358093,0.7392804026603699,0.7488619089126587,6919,3.130995035171509,0.8150601387023926,2.9714560508728027,3.4233813285827637,3.6380159854888916,6919,-0.06466233730316162,0.02973281219601631,-0.0809517502784729,-0.06098762899637222,-0.0444096215069294,6919,0.0872807428240776,0.05965152010321617,0.08344556391239166,0.10695347934961319,0.12211552262306213,6919,1.135622501373291,0.043781548738479614,1.1300415992736816,1.1490437984466553,1.1604353189468384,6919,0.0962638333439827,0.05414704978466034,0.0628679096698761,0.07974932342767715,0.1066213846206665,6919,0.7373875379562378,0.06642580777406693,0.736764132976532,0.7632014751434326,0.7754045724868774,6919,0.9349982142448425,0.021726764738559723,0.9259697794914246,0.9365963339805603,0.9489632844924927,6919,1.0211398601531982,0.009679881855845451,1.0149821043014526,1.0202908515930176,1.025987148284912,6919,0.11687212437391281,0.0217328742146492,0.1032562255859375,0.11043763160705566,0.12752783298492432,6917,0.8385295271873474,0.052232950925827026,0.8403496742248535,0.8614521622657776,0.8709571361541748,6919,725.7512817382812,2.3263485431671143,725.2951049804688,726.623779296875,727.376953125,6919
